total,roll,pitch,yaw,,,,,NewTotal
714878.5604,965.7423649,1445.192079,2142224.747, Mag 20, Accel 1, lowestaccel 4, lowestMag 19,2892.094892
387561.977,635.7616603,914.9802523,1161135.189, Mag 20, Accel 2, lowestaccel 4, lowestMag 19,1849.291624
93075.01835,505.2167023,801.0066918,277918.8316, Mag 20, Accel 3, lowestaccel 4, lowestMag 19,1580.422564
50067.63648,474.9320501,763.7973484,148964.18, Mag 20, Accel 4, lowestaccel 4, lowestMag 20,1501.89506
92979.17996,496.3198981,746.7616763,277694.4583, Mag 20, Accel 5, lowestaccel 4, lowestMag 20,1492.382438
92950.02928,546.9171719,737.5899648,277565.5807, Mag 20, Accel 6, lowestaccel 4, lowestMag 20,1516.572826
92997.44538,615.6767963,732.8503121,277643.809, Mag 20, Accel 7, lowestaccel 4, lowestMag 20,1561.033065
135508.7647,696.6544115,731.2693925,405098.3704, Mag 20, Accel 8, lowestaccel 4, lowestMag 20,1619.394897
135576.4955,786.3490538,732.193124,405210.9442, Mag 20, Accel 9, lowestaccel 4, lowestMag 20,1688.051476
135680.0283,882.5247049,735.1790898,405422.3812, Mag 20, Accel 10, lowestaccel 4, lowestMag 20,1764.662163
135808.9834,983.6552124,739.8764339,405703.4186, Mag 20, Accel 11, lowestaccel 4, lowestMag 20,1847.55606
713588.6997,1020.980196,1467.903553,2138277.215, Mag 21, Accel 1, lowestaccel 4, lowestMag 20,2967.590477
470877.2303,660.6060765,932.4949192,1411038.59, Mag 21, Accel 2, lowestaccel 4, lowestMag 20,1894.196936
92881.27272,519.7679929,818.152344,277305.8978, Mag 21, Accel 3, lowestaccel 4, lowestMag 20,1617.054511
49881.09544,485.1770078,780.9691653,148377.1401, Mag 21, Accel 4, lowestaccel 4, lowestMag 21,1535.336504
92791.27194,504.3132906,763.9264934,277105.576, Mag 21, Accel 5, lowestaccel 4, lowestMag 21,1524.124708
92760.92265,553.4493044,754.6882216,276974.6304, Mag 21, Accel 6, lowestaccel 4, lowestMag 21,1547.119311
92807.68377,621.0741601,749.8350474,277052.1421, Mag 21, Accel 7, lowestaccel 4, lowestMag 21,1590.558191
135311.8641,701.0559706,748.1056403,404486.4305, Mag 21, Accel 8, lowestaccel 4, lowestMag 21,1647.950438
93562.41959,789.8124897,748.8541597,279148.5921, Mag 21, Accel 9, lowestaccel 4, lowestMag 21,1715.640607
93657.00569,885.0724392,751.6440566,279334.3006, Mag 21, Accel 10, lowestaccel 4, lowestMag 21,1791.270414
93789.41187,985.2942316,756.1288322,279626.8125, Mag 21, Accel 11, lowestaccel 4, lowestMag 21,1873.163922
712376.569,1077.623988,1489.546893,2134562.536, Mag 22, Accel 1, lowestaccel 4, lowestMag 21,3042.53833
554111.9621,685.7459921,950.0689462,1660700.071, Mag 22, Accel 2, lowestaccel 4, lowestMag 21,1939.412913
92711.23135,534.4114423,835.4441958,276763.8384, Mag 22, Accel 3, lowestaccel 4, lowestMag 21,1653.974875
49717.30314,495.4548311,798.2664603,147858.1881, Mag 22, Accel 4, lowestaccel 4, lowestMag 22,1568.990814
92625.94385,512.3155907,781.1899234,276584.326, Mag 22, Accel 5, lowestaccel 4, lowestMag 22,1556.021578
50767.45307,559.9788249,771.8641467,150970.5162, Mag 22, Accel 6, lowestaccel 4, lowestMag 22,1577.780339
50748.18309,626.4633119,766.8825301,150851.2034, Mag 22, Accel 7, lowestaccel 4, lowestMag 22,1620.171279
93200.47736,705.4467988,764.993336,278130.992, Mag 22, Accel 8, lowestaccel 4, lowestMag 22,1676.575103
93237.64305,793.26609,765.5583497,278154.1047, Mag 22, Accel 9, lowestaccel 4, lowestMag 22,1743.287092
93325.00684,887.6130505,768.1458234,278319.2617, Mag 22, Accel 10, lowestaccel 4, lowestMag 22,1817.928523
93449.82048,986.930603,772.4132489,278590.1176, Mag 22, Accel 11, lowestaccel 4, lowestMag 22,1898.817826
752426.247,1135.481394,1510.164687,2254633.095, Mag 23, Accel 1, lowestaccel 4, lowestMag 22,3116.858076
595346.0985,711.131782,967.7023447,1784359.461, Mag 23, Accel 2, lowestaccel 4, lowestMag 22,1984.902354
92561.74695,549.126478,852.8770252,276283.2373, Mag 23, Accel 3, lowestaccel 4, lowestMag 22,1691.160396
49573.16977,505.7558724,815.6827644,147398.0707, Mag 23, Accel 4, lowestaccel 4, lowestMag 23,1602.841051
50630.26741,520.3217436,798.5460021,150571.9345, Mag 23, Accel 5, lowestaccel 4, lowestMag 23,1588.060311
50502.78039,566.502804,789.1125429,150152.7258, Mag 23, Accel 6, lowestaccel 4, lowestMag 23,1608.545917
50477.70735,631.8425376,783.9874384,150017.2921, Mag 23, Accel 7, lowestaccel 4, lowestMag 23,1649.863061
92918.35985,709.8273121,781.9280222,277263.3242, Mag 23, Accel 8, lowestaccel 4, lowestMag 23,1705.262517
92949.3057,796.7104571,782.3015225,277268.9051, Mag 23, Accel 9, lowestaccel 4, lowestMag 23,1770.985127
93030.35306,890.1476352,784.6809082,277416.2306, Mag 23, Accel 10, lowestaccel 4, lowestMag 23,1844.632089
93148.61471,988.5656006,788.7261918,277668.5523, Mag 23, Accel 11, lowestaccel 4, lowestMag 23,1924.513488
751291.8092,1194.365289,1529.79465,2251151.268, Mag 24, Accel 1, lowestaccel 4, lowestMag 23,3190.465942
636590.7259,736.712807,985.3932456,1908050.072, Mag 24, Accel 2, lowestaccel 4, lowestMag 23,2030.624474
92430.29098,563.8940594,870.4440253,275856.5348, Mag 24, Accel 3, lowestaccel 4, lowestMag 23,1728.586582
7623.025516,516.0711834,833.2121406,21519.79322, Mag 24, Accel 4, lowestaccel 4, lowestMag 24,1636.871598
50401.31509,528.3269926,815.9890038,149859.6293, Mag 24, Accel 5, lowestaccel 4, lowestMag 24,1620.22875
50267.48333,573.0187485,806.4279043,149423.0033, Mag 24, Accel 6, lowestaccel 4, lowestMag 24,1639.405918
50237.10668,637.2108898,801.1450857,149272.9641, Mag 24, Accel 7, lowestaccel 4, lowestMag 24,1679.625796
92666.91222,714.1966445,798.9049489,276487.6351, Mag 24, Accel 8, lowestaccel 4, lowestMag 24,1734.004907
92692.27854,800.1459564,799.0795829,276477.6101, Mag 24, Accel 9, lowestaccel 4, lowestMag 24,1798.728842
92767.73567,892.6772722,801.2450334,276609.2847, Mag 24, Accel 10, lowestaccel 4, lowestMag 24,1871.375504
92880.25831,990.2005682,805.0642271,276845.5101, Mag 24, Accel 11, lowestaccel 4, lowestMag 24,1950.246767
750223.2143,1254.100375,1548.485232,2247867.057, Mag 25, Accel 1, lowestaccel 4, lowestMag 24,3263.303129
635975.717,762.4421409,1003.141806,1906161.567, Mag 25, Accel 2, lowestaccel 4, lowestMag 24,2076.544315
92314.73494,578.6979595,888.1400599,275477.3668, Mag 25, Accel 3, lowestaccel 4, lowestMag 24,1766.23356
7425.557793,526.3921836,850.8477324,20899.43346, Mag 25, Accel 4, lowestaccel 4, lowestMag 25,1671.065736
50197.59164,536.326475,833.51297,149222.9355, Mag 25, Accel 5, lowestaccel 4, lowestMag 25,1652.514311
50057.69299,579.5241454,823.8050488,148769.7498, Mag 25, Accel 6, lowestaccel 4, lowestMag 25,1670.350682
50022.39118,642.5671071,818.350533,148606.2559, Mag 25, Accel 7, lowestaccel 4, lowestMag 25,1709.45113
92442.04586,718.5547477,815.9198742,275791.6629, Mag 25, Accel 8, lowestaccel 4, lowestMag 25,1762.795872
92462.34633,803.572778,815.8883104,275767.5779, Mag 25, Accel 9, lowestaccel 4, lowestMag 25,1826.512049
92532.80651,895.2023002,817.8346305,275885.3826, Mag 25, Accel 10, lowestaccel 4, lowestMag 25,1898.153671
92640.23722,991.8364147,821.423769,276107.4515, Mag 25, Accel 11, lowestaccel 4, lowestMag 25,1976.012965
749216.5982,1314.508425,1566.282977,2244769.003, Mag 26, Accel 1, lowestaccel 4, lowestMag 25,3335.305785
635390.4037,788.2783885,1020.947933,1904361.985, Mag 26, Accel 2, lowestaccel 4, lowestMag 25,2122.630691
50393.70261,593.5201763,905.9582579,149681.6294, Mag 26, Accel 3, lowestaccel 4, lowestMag 25,1804.077519
7249.877668,536.7118599,868.5838044,20344.33734, Mag 26, Accel 4, lowestaccel 4, lowestMag 26,1705.409602
50015.94989,544.3166296,851.1124996,148652.4206, Mag 26, Accel 5, lowestaccel 4, lowestMag 26,1684.906222
49870.19018,586.0167782,841.2386341,148183.3151, Mag 26, Accel 6, lowestaccel 4, lowestMag 26,1701.370535
49830.26239,647.9100657,835.5992224,148007.2779, Mag 26, Accel 7, lowestaccel 4, lowestMag 26,1739.331383
92240.37685,722.9009371,832.9682691,275165.2613, Mag 26, Accel 8, lowestaccel 4, lowestMag 26,1791.628107
92256.01361,806.9912251,832.723747,275128.3259, Mag 26, Accel 9, lowestaccel 4, lowestMag 26,1854.329039
92321.9265,897.7236226,834.4459867,275233.6099, Mag 26, Accel 10, lowestaccel 4, lowestMag 26,1924.961697
92424.79011,993.4741341,837.8015565,275443.0946, Mag 26, Accel 11, lowestaccel 4, lowestMag 26,2001.807935
789143.5902,1375.429898,1583.239039,2364472.102, Mag 27, Accel 1, lowestaccel 4, lowestMag 26,3406.430981
634832.9242,814.1788999,1038.809918,1902645.784, Mag 27, Accel 2, lowestaccel 4, lowestMag 26,2168.849051
50238.04839,608.3470554,923.8929039,149181.9052, Mag 27, Accel 3, lowestaccel 4, lowestMag 26,1842.099647
7093.37074,547.0224331,886.4137976,19846.67599, Mag 27, Accel 4, lowestaccel 4, lowestMag 27,1739.887521
49853.72809,552.2933334,868.7814611,148140.1095, Mag 27, Accel 5, lowestaccel 4, lowestMag 27,1717.392192
49702.27171,592.4943944,858.7237603,147655.597, Mag 27, Accel 6, lowestaccel 4, lowestMag 27,1732.456436
49657.93355,653.238671,852.8862275,147467.6757, Mag 27, Accel 7, lowestaccel 4, lowestMag 27,1769.258345
92059.0342,727.2352065,850.0460282,274599.8214, Mag 27, Accel 8, lowestaccel 4, lowestMag 27,1820.495447
92070.32615,810.4011973,849.581933,274550.9953, Mag 27, Accel 9, lowestaccel 4, lowestMag 27,1882.173797
92132.08581,900.2413205,851.0753753,274644.9407, Mag 27, Accel 10, lowestaccel 4, lowestMag 27,1951.794053
92230.81304,995.1144369,854.1938744,274843.1308, Mag 27, Accel 11, lowestaccel 4, lowestMag 27,2027.626639
788201.8854,1436.704647,1599.411039,2361569.54, Mag 28, Accel 1, lowestaccel 4, lowestMag 27,3476.645044
634301.6225,840.106315,1056.727002,1901008.034, Mag 28, Accel 2, lowestaccel 4, lowestMag 27,2215.170239
50099.58273,623.1635595,941.9377729,148733.6469, Mag 28, Accel 3, lowestaccel 4, lowestMag 27,1880.279329
6953.829758,557.3171961,904.3317304,19399.84035, Mag 28, Accel 4, lowestaccel 4, lowestMag 28,1774.485493
49708.69073,560.2529234,886.5144921,147679.3048, Mag 28, Accel 5, lowestaccel 4, lowestMag 28,1749.961431
49551.65573,598.9551995,876.2550951,147179.7569, Mag 28, Accel 6, lowestaccel 4, lowestMag 28,1763.599042
49503.08042,658.5517628,870.2072666,146980.4822, Mag 28, Accel 7, lowestaccel 4, lowestMag 28,1799.224722
91895.63503,731.5568282,867.1489276,274088.1993, Mag 28, Accel 8, lowestaccel 4, lowestMag 28,1849.391013
91902.83936,813.8028959,866.4591963,274028.256, Mag 28, Accel 9, lowestaccel 4, lowestMag 28,1910.040966
91960.7278,902.7560082,867.719249,274111.7082, Mag 28, Accel 10, lowestaccel 4, lowestMag 28,1978.64588
92055.65832,996.7576578,870.5977728,274299.6195, Mag 28, Accel 11, lowestaccel 4, lowestMag 28,2053.464903
787315.5381,1498.181731,1614.849772,2358833.583, Mag 29, Accel 1, lowestaccel 4, lowestMag 28,3545.910956
675490.0919,866.0223652,1074.697709,2024529.556, Mag 29, Accel 2, lowestaccel 4, lowestMag 28,2261.563337
49976.40006,637.9571091,960.0869407,148331.1561, Mag 29, Accel 3, lowestaccel 4, lowestMag 28,1918.598243
6829.354384,567.5899577,922.3312967,18998.1419, Mag 29, Accel 4, lowestaccel 4, lowestMag 29,1809.189413
49578.91066,568.1919894,904.3061955,147264.2338, Mag 29, Accel 5, lowestaccel 4, lowestMag 29,1782.603285
49416.37703,605.3970884,893.8279447,146749.9061, Mag 29, Accel 6, lowestaccel 4, lowestMag 29,1794.789733
49363.70497,663.848558,887.5576822,146539.7087, Mag 29, Accel 7, lowestaccel 4, lowestMag 29,1829.222942
91748.13165,735.865542,884.2727599,273624.2566, Mag 29, Accel 8, lowestaccel 4, lowestMag 29,1878.308296
91751.4394,817.1960812,883.3515139,273553.7706, Mag 29, Accel 9, lowestaccel 4, lowestMag 29,1937.924332
91805.70906,905.2678028,884.3744182,273627.485, Mag 29, Accel 10, lowestaccel 4, lowestMag 29,2005.512479
91897.12913,998.4044515,887.0099024,273805.973, Mag 29, Accel 11, lowestaccel 4, lowestMag 29,2079.318192
786481.6963,1559.725405,1629.609333,2356255.754, Mag 30, Accel 1, lowestaccel 4, lowestMag 29,3614.208053
633134.9145,891.8950921,1092.722819,1897420.126, Mag 30, Accel 2, lowestaccel 4, lowestMag 29,2308.005548
49866.8613,652.7154509,978.333706,147969.5348, Mag 30, Accel 3, lowestaccel 4, lowestMag 29,1957.037147
6718.31638,577.8353696,940.4065041,18636.70727, Mag 30, Accel 4, lowestaccel 4, lowestMag 30,1843.986283
49462.74653,576.10758,922.1510532,146889.981, Mag 30, Accel 5, lowestaccel 4, lowestMag 30,1815.307265
49294.76847,611.8184022,911.4375494,146361.0495, Mag 30, Accel 6, lowestaccel 4, lowestMag 30,1826.020126
49238.09865,669.1278859,904.9335146,146140.2346, Mag 30, Accel 7, lowestaccel 4, lowestMag 30,1859.246186
91614.76705,740.1609427,901.4140216,273202.7262, Mag 30, Accel 8, lowestaccel 4, lowestMag 30,1907.241739
91614.34459,820.5808262,900.2554245,273122.1975, Mag 30, Accel 9, lowestaccel 4, lowestMag 30,1965.818756
91665.19641,907.7769697,901.0372705,273186.775, Mag 30, Accel 10, lowestaccel 4, lowestMag 30,2032.388633
91753.32903,1000.054967,903.4272539,273356.5049, Mag 30, Accel 11, lowestaccel 4, lowestMag 30,2105.182106
826232.6561,1621.198046,1643.744849,2475433.026, Mag 31, Accel 1, lowestaccel 4, lowestMag 30,3681.515808
632599.3249,917.6913289,1110.798765,1895769.485, Mag 31, Accel 2, lowestaccel 4, lowestMag 30,2354.466644
92443.06954,667.4261556,996.6726431,275665.1098, Mag 31, Accel 3, lowestaccel 4, lowestMag 30,1995.578581
6619.305626,588.0474586,958.5516147,18311.3178, Mag 31, Accel 4, lowestaccel 4, lowestMag 31,1878.863016
49358.75926,583.996743,940.0439765,146552.2371, Mag 31, Accel 5, lowestaccel 4, lowestMag 31,1848.063522
49185.40553,618.2173464,929.0793277,146008.9199, Mag 31, Accel 6, lowestaccel 4, lowestMag 31,1857.282001
49124.80237,674.3888639,922.3299322,145777.6883, Mag 31, Accel 7, lowestaccel 4, lowestMag 31,1889.286546
91494.05716,744.4425008,918.5683291,272819.1607, Mag 31, Accel 8, lowestaccel 4, lowestMag 31,1936.184369
91490.03215,823.9569623,917.1672409,272728.9723, Mag 31, Accel 9, lowestaccel 4, lowestMag 31,1993.718583
91537.61031,910.2833823,917.7043621,272784.8432, Mag 31, Accel 10, lowestaccel 4, lowestMag 31,2059.26908
91622.65386,1001.709517,919.846355,272946.4057, Mag 31, Accel 11, lowestaccel 4, lowestMag 31,2131.051671
825455.8404,1682.472374,1657.302984,2473027.746, Mag 32, Accel 1, lowestaccel 4, lowestMag 31,3747.808756
632089.2626,943.3828957,1128.925937,1894195.479, Mag 32, Accel 2, lowestaccel 4, lowestMag 31,2400.926077
92345.4039,682.0797891,1015.097367,275339.0345, Mag 32, Accel 3, lowestaccel 4, lowestMag 31,2034.205893
6531.094899,598.2217746,976.7610492,18018.30187, Mag 32, Accel 4, lowestaccel 4, lowestMag 32,1913.807905
49265.71982,591.8566023,957.9798921,146247.323, Mag 32, Accel 5, lowestaccel 4, lowestMag 32,1880.86229
49087.01409,624.5925429,946.7485244,145689.7012, Mag 32, Accel 6, lowestaccel 4, lowestMag 32,1888.567194
49022.53161,679.6307672,939.7434545,145448.2206, Mag 32, Accel 7, lowestaccel 4, lowestMag 32,1919.338257
91384.71107,748.7096362,935.7323044,272469.6913, Mag 32, Accel 8, lowestaccel 4, lowestMag 32,1965.130684
91377.16098,827.3244071,934.0835719,272370.075, Mag 32, Accel 9, lowestaccel 4, lowestMag 32,2021.618663
91421.59954,912.7871124,934.3724937,272417.639, Mag 32, Accel 10, lowestaccel 4, lowestMag 32,2086.149075
91503.69124,1003.368118,936.2645246,272571.4411, Mag 32, Accel 11, lowestaccel 4, lowestMag 32,2156.922875
824726.576,1743.439588,1670.342399,2470765.946, Mag 33, Accel 1, lowestaccel 4, lowestMag 32,3813.093289
631603.4089,968.9394805,1147.101234,1892694.186, Mag 33, Accel 2, lowestaccel 4, lowestMag 32,2447.356462
92257.85909,696.6655489,1033.602092,275043.3096, Mag 33, Accel 3, lowestaccel 4, lowestMag 32,2072.902299
6452.609295,608.353353,995.0289277,17754.4456, Mag 33, Accel 4, lowestaccel 4, lowestMag 33,1948.808406
49182.54197,599.6848861,975.9540124,145971.987, Mag 33, Accel 5, lowestaccel 4, lowestMag 33,1913.694683
48998.51708,630.9425299,964.4412792,145400.1674, Mag 33, Accel 6, lowestaccel 4, lowestMag 33,1919.868816
48930.2031,684.8524705,957.1699573,145148.5869, Mag 33, Accel 7, lowestaccel 4, lowestMag 33,1949.394289
91285.56566,752.9621501,952.9020978,272150.8327, Mag 33, Accel 8, lowestaccel 4, lowestMag 33,1994.074759
91274.59591,830.6828341,951.0012954,272042.1036, Mag 33, Accel 9, lowestaccel 4, lowestMag 33,2049.514069
91315.99361,915.2883225,951.038944,272081.6536, Mag 33, Accel 10, lowestaccel 4, lowestMag 33,2113.024658
91395.25026,1005.030969,952.6787811,272228.041, Mag 33, Accel 11, lowestaccel 4, lowestMag 33,2182.791398
824042.6104,1803.985466,1682.908812,2468640.937, Mag 34, Accel 1, lowestaccel 4, lowestMag 33,3877.352318
631140.5297,994.3387038,1165.324092,1891261.926, Mag 34, Accel 2, lowestaccel 4, lowestMag 33,2493.740166
92179.46709,711.1750342,1052.18072,274775.0455, Mag 34, Accel 3, lowestaccel 4, lowestMag 33,2111.652355
6382.905398,618.4376128,1013.34962,17516.92896, Mag 34, Accel 4, lowestaccel 4, lowestMag 34,1983.852639
49108.27224,607.4787742,993.9610789,145723.3769, Mag 34, Accel 5, lowestaccel 4, lowestMag 34,1946.550699
48918.96254,637.2657049,982.1528084,145137.4691, Mag 34, Accel 6, lowestaccel 4, lowestMag 34,1951.178491
48846.8459,690.053374,974.6055039,144875.8788, Mag 34, Accel 7, lowestaccel 4, lowestMag 34,1979.448286
91195.67765,757.199547,970.0746404,271859.7588, Mag 34, Accel 8, lowestaccel 4, lowestMag 34,2023.011621
91181.34013,834.0321227,967.9168571,271742.0714, Mag 34, Accel 9, lowestaccel 4, lowestMag 34,2077.399378
91219.76313,917.7869167,967.700335,271773.8021, Mag 34, Accel 10, lowestaccel 4, lowestMag 34,2139.89069
91296.29873,1006.698221,969.0864259,271913.1115, Mag 34, Accel 11, lowestaccel 4, lowestMag 34,2208.653304
823401.7357,1864.012967,1695.051831,2466646.142, Mag 35, Accel 1, lowestaccel 4, lowestMag 34,3940.587472
630699.5466,1019.554206,1183.591338,1889895.494, Mag 35, Accel 2, lowestaccel 4, lowestMag 34,2540.052662
176051.5514,725.5983711,1070.827479,526358.2283, Mag 35, Accel 3, lowestaccel 4, lowestMag 34,2150.439997
6321.152882,628.4705705,1031.717623,17303.27045, Mag 35, Accel 4, lowestaccel 4, lowestMag 35,2018.929362
49042.08657,615.2364101,1011.996741,145499.0266, Mag 35, Accel 5, lowestaccel 4, lowestMag 35,1979.42242
48847.50134,643.5607962,999.8791189,144899.0641, Mag 35, Accel 6, lowestaccel 4, lowestMag 35,1982.489276
48771.60298,695.2326142,992.0466862,144627.5296, Mag 35, Accel 7, lowestaccel 4, lowestMag 35,2009.49449
91114.15529,761.4213351,987.2461019,271593.7984, Mag 35, Accel 8, lowestaccel 4, lowestMag 35,2051.935154
91096.48396,837.3721034,984.8273557,271467.2524, Mag 35, Accel 9, lowestaccel 4, lowestMag 35,2105.270111
91132.01847,920.282763,984.3541368,271491.4185, Mag 35, Accel 10, lowestaccel 4, lowestMag 35,2166.743277
91205.90772,1008.369593,985.4846739,271623.8689, Mag 35, Accel 11, lowestaccel 4, lowestMag 35,2234.504206
821138.8993,1923.428296,1706.821265,2459786.448, Mag 36, Accel 1, lowestaccel 4, lowestMag 35,4002.80312
671782.3803,1044.564844,1201.902266,2013100.674, Mag 36, Accel 2, lowestaccel 4, lowestMag 35,2586.277032
217846.4323,739.9281557,1089.536609,651709.8322, Mag 36, Accel 3, lowestaccel 4, lowestMag 35,2189.25103
6266.612866,638.4488253,1050.127929,17111.26184, Mag 36, Accel 4, lowestaccel 4, lowestMag 36,2054.028513
48983.24608,622.9554614,1030.056456,145296.7263, Mag 36, Accel 5, lowestaccel 4, lowestMag 36,2012.301279
48783.41161,649.826682,1017.616581,144682.7916, Mag 36, Accel 6, lowestaccel 4, lowestMag 36,2013.794882
48703.74826,700.3896382,1009.48998,144401.3652, Mag 36, Accel 7, lowestaccel 4, lowestMag 36,2039.527198
91040.24412,765.6270413,1004.413707,271350.6916, Mag 36, Accel 8, lowestaccel 4, lowestMag 36,2080.840842
91019.30004,840.7025009,1001.730036,271215.4676, Mag 36, Accel 9, lowestaccel 4, lowestMag 36,2133.12193
91051.97856,922.7757405,1000.997217,271232.1627, Mag 36, Accel 10, lowestaccel 4, lowestMag 36,2193.57763
91123.28161,1010.045266,1001.871146,271357.9284, Mag 36, Accel 11, lowestaccel 4, lowestMag 36,2260.340668
820513.8274,1982.149011,1718.256818,2457841.076, Mag 37, Accel 1, lowestaccel 4, lowestMag 36,4063.996985
671360.965,1069.34926,1220.254348,2011793.291, Mag 37, Accel 2, lowestaccel 4, lowestMag 36,2632.393467
259718.8511,754.157753,1108.302473,777294.093, Mag 37, Accel 3, lowestaccel 4, lowestMag 36,2228.072025
6218.632681,648.3680995,1068.57548,16938.95446, Mag 37, Accel 4, lowestaccel 4, lowestMag 37,2089.139295
48931.08524,630.6338582,1048.13569,145114.4862, Mag 37, Accel 5, lowestaccel 4, lowestMag 37,2045.178928
48726.02213,656.0621629,1035.361025,144486.6432, Mag 37, Accel 6, lowestaccel 4, lowestMag 37,2045.08816
48642.60592,705.5236166,1026.931808,144195.3623, Mag 37, Accel 7, lowestaccel 4, lowestMag 37,2069.540424
90973.28029,769.8164408,1021.574116,271128.4503, Mag 37, Accel 8, lowestaccel 4, lowestMag 37,2109.723505
90949.08251,844.0230591,1018.621729,270984.6027, Mag 37, Accel 9, lowestaccel 4, lowestMag 37,2160.949888
90978.94969,925.265726,1017.627264,270993.9561, Mag 37, Accel 10, lowestaccel 4, lowestMag 37,2220.390191
91047.72826,1011.725112,1018.242953,271113.2167, Mag 37, Accel 11, lowestaccel 4, lowestMag 37,2286.158264
819929.2439,2040.094259,1729.402042,2456018.235, Mag 38, Accel 1, lowestaccel 4, lowestMag 37,4124.173756
670959.4739,1093.889694,1238.644707,2010545.887, Mag 38, Accel 2, lowestaccel 4, lowestMag 37,2678.384331
259571.5488,768.2786598,1127.119329,776819.2483, Mag 38, Accel 3, lowestaccel 4, lowestMag 37,2266.887988
6176.625311,658.2257056,1087.055066,16784.59516, Mag 38, Accel 4, lowestaccel 4, lowestMag 38,2124.251878
48885.01744,638.2700192,1066.230355,144950.5519, Mag 38, Accel 5, lowestaccel 4, lowestMag 38,2078.048046
48674.75515,662.2662008,1053.108921,144308.8903, Mag 38, Accel 6, lowestaccel 4, lowestMag 38,2076.363032
48587.60329,710.6339644,1044.368982,144007.8069, Mag 38, Accel 7, lowestaccel 4, lowestMag 38,2099.528946
90912.66222,773.9889255,1038.724318,270925.2734, Mag 38, Accel 8, lowestaccel 4, lowestMag 38,2138.578171
90885.2312,847.3337165,1035.49975,270772.8601, Mag 38, Accel 9, lowestaccel 4, lowestMag 38,2188.749913
90912.31273,927.7526433,1034.24143,270774.9441, Mag 38, Accel 10, lowestaccel 4, lowestMag 38,2247.176628
